epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18635,1.05117,0.929,1.11157,0.70517,0.67771,0.70073,0.48609,1.11631,1.04064,1.15601,0.000349331,0.000349331,0.000349331
43,19054.6,1.05098,0.92558,1.10623,0.70325,0.63585,0.69141,0.47758,1.106,1.03813,1.15165,0.00034351,0.00034351,0.00034351
44,19473.3,1.04667,0.9214,1.10749,0.69855,0.66365,0.7117,0.49407,1.10761,1.03602,1.15234,0.000337688,0.000337688,0.000337688
45,19892.1,1.03085,0.90713,1.09806,0.70558,0.66234,0.68531,0.48405,1.09931,1.01958,1.13903,0.000331867,0.000331867,0.000331867
46,20311.1,1.0454,0.91322,1.10428,0.72406,0.65409,0.69357,0.486,1.09548,1.04649,1.14789,0.000326046,0.000326046,0.000326046
47,20732.2,1.03155,0.89935,1.10213,0.66698,0.67741,0.70519,0.48855,1.10136,1.0265,1.14725,0.000320225,0.000320225,0.000320225
48,21150.9,1.03328,0.88887,1.09793,0.69512,0.67351,0.69763,0.48365,1.1038,1.02618,1.15117,0.000314404,0.000314404,0.000314404
49,21569.4,1.03188,0.8969,1.0977,0.68282,0.70108,0.7212,0.50092,1.10501,0.99463,1.1507,0.000308582,0.000308582,0.000308582
50,21988.5,1.02735,0.87951,1.09144,0.72187,0.63496,0.69113,0.46955,1.11134,1.05499,1.15101,0.000302761,0.000302761,0.000302761
51,22407.5,1.02446,0.87247,1.09474,0.68018,0.68455,0.69238,0.48055,1.10366,1.01771,1.1511,0.00029694,0.00029694,0.00029694
52,22826.2,1.01105,0.85514,1.08335,0.78663,0.63775,0.71342,0.48942,1.12371,1.03494,1.1586,0.000291119,0.000291119,0.000291119
53,23244.9,1.02042,0.85901,1.09125,0.66979,0.6621,0.6926,0.49088,1.10192,1.0486,1.14513,0.000285298,0.000285298,0.000285298
